location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
479851,NG 38947 30993,NA,NA,NA,NA,479851,75,20,5,0,41,15,100,18.9,1,sampling_point,2019-01-09,NG 38947 30993
479851,NG 40943 31347,NA,NA,NA,NA,479851,75,20,5,0,41,15,100,18.9,1,sampling_point,2024-10-05,NG 40943 31347
479852,NG 40815 31637,NA,NA,NA,NA,479852,85,15,0,0,17,2.1,100,NA,NA,sampling_point,2019-01-09,NG 40815 31637
479852,NG 38947 30993,NA,NA,NA,NA,479852,85,15,0,0,17,2.1,100,NA,NA,sampling_point,2024-10-05,NG 38947 30993
479853,NG 40642 31669,NA,NA,NA,NA,479853,60,30,0,10,19,1.5,100,NA,NA,sampling_point,2019-01-09,NG 40642 31669
479853,NG 40815 31637,NA,NA,NA,NA,479853,60,30,0,10,19,1.5,100,NA,NA,sampling_point,2024-10-05,NG 40815 31637
479854,NJ 97140 23898,NA,NA,NA,NA,479854,60,40,0,0,18,1.5,100,NA,NA,sampling_point,2019-01-09,NJ 97140 23898
479854,NG 40642 31669,NA,NA,NA,NA,479854,60,40,0,0,18,1.5,100,NA,NA,sampling_point,2024-10-05,NG 40642 31669
479878,NH 62508 51231,NA,NA,NA,NA,479878,50,42.5,2.5,5,29.5,3,100,NA,NA,sampling_point,2019-01-09,NH 62508 51231
479878,NJ 97140 23898,NA,NA,NA,NA,479878,50,42.5,2.5,5,29.5,3,100,NA,NA,sampling_point,2024-10-05,NJ 97140 23898
479889,NS 55571 88224,NA,NA,NA,NA,479889,40,10,40,10,13,1,100,NA,NA,sampling_point,2019-01-09,NS 55571 88224
479889,NH 62508 51231,NA,NA,NA,NA,479889,40,10,40,10,13,1,100,NA,NA,sampling_point,2024-10-05,NH 62508 51231
479906,NS 54778 88137,NA,NA,NA,NA,479906,17.5,67.5,15,0,10.5,2,100,NA,NA,sampling_point,2019-01-09,NS 54778 88137
479906,NS 55571 88224,NA,NA,NA,NA,479906,17.5,67.5,15,0,10.5,2,100,NA,NA,sampling_point,2024-10-05,NS 55571 88224
479907,NS 55125 88004,NA,NA,NA,NA,479907,40,35,10,15,13.5,1.4,100,74.8,1,sampling_point,2019-01-09,NS 55125 88004
479907,NS 54778 88137,NA,NA,NA,NA,479907,40,35,10,15,13.5,1.4,100,74.8,1,sampling_point,2024-10-05,NS 54778 88137
